yaw;pitch;timestamp
-5.22794499379552;1.8847658103565614;0:1.067733
-9.042328969901696;3.4334069497591644;0:1.167833
-13.715767727960548;6.290865047182436;0:1.201200
-16.6631630945793;7.359090803559009;0:1.234567
-20.009605430497277;8.216877685927702;0:1.267933
-11.90579338069983;1.6083859092566228;0:1.334667
-5.021152360339103;-6.556194104929752;0:5.071733
1.8368582932799544;-14.114946635153913;0:8.375033
6.779476050188718;-20.129551615195073;0:8.575233
11.249212289004362;-26.534209471292353;0:8.675333
4.696581595188851;-16.15524128269378;0:9.576233
-1.3057431340278547;-9.836556790401309;0:13.413400
-4.345515808425466;-11.747773624160464;0:13.847167
-5.439571803392349;-11.695717507598108;0:13.947267
-7.2016979584200485;-11.970471513974031;0:13.980633
-3.259973793610242;-22.132689950084277;0:14.014000
-0.4103742952230928;-29.08932728290707;0:14.080733
0.006889960406822393;-27.431495024544933;0:14.147467
-1.1176071886917953;-27.453734362219258;0:14.247567
0.10051480027600154;-26.974768763058073;0:14.314300
0.2120900472656352;-26.829378516375677;0:14.347667
2.8280160827291794;-25.21439435584484;0:14.381033
5.449144753941381;-25.393725399962953;0:14.414400
7.363945340954174;-25.67880735236502;0:14.447767
9.006348892511937;-26.814221794996513;0:14.481133
8.246569924306113;-28.242417158967008;0:14.514500
5.3572710913712385;-28.932417902922595;0:14.681333
3.751752145049663;-29.762589261426267;0:14.748067
1.4561152158567494;-31.091024870377158;0:14.781433
-0.07240680661747056;-29.652098318681897;0:14.914900
0.9304866041794153;-28.647524039200807;0:15.081733
2.659485965327279;-28.26313366975959;0:15.148467
3.869376095995;-29.15844557276306;0:15.215200
3.1599040822719506;-28.95655387512901;0:15.248567
2.714118918228477;-29.706213334485927;0:15.281933
4.76370120512087;-30.065172135779903;0:15.315300
5.014032496866365;-30.986363965819702;0:15.348667
4.355352486954399;-30.8597803365633;0:15.382033
7.446859305370606;-30.053450186718898;0:15.415400
8.601494074322023;-29.1523094914531;0:15.448767
6.070426261678731;-29.957896883235662;0:15.482133
4.959941680752685;-28.913650341820404;0:15.515500
4.3266396461358685;-27.434403001535127;0:15.548867
2.8935229568391447;-27.161547043885786;0:15.582233
2.2890143996684644;-28.586092703377595;0:15.615600
4.890922439841186;-27.244152206608533;0:15.648967
8.184069611728953;-26.88952932173017;0:15.682333
9.889502177540722;-25.547474241797364;0:15.715700
10.52402664523721;-27.87102087617299;0:15.749067
12.05518313163461;-28.41546151754909;0:15.782433
12.095030695328436;-27.94934154265827;0:15.815800
11.210699044895986;-26.91421713079;0:15.849167
10.43905793957003;-26.43114694604581;0:15.882533
11.180203890150342;-25.014435076996964;0:15.915900
9.69390354627911;-22.01583099015175;0:15.949267
8.27948480214759;-21.59942166688618;0:15.982633
8.010164426546817;-20.929253376829678;0:16.016000
9.306164327109128;-21.31730673809661;0:16.049367
8.103099191163897;-21.110388967519413;0:16.082733
8.288934876868595;-23.247272077694802;0:16.116100
6.664644661795097;-24.927383504610106;0:16.149467
3.847287373097946;-26.788508434823314;0:16.182833
1.2239798415086427;-28.702474488287727;0:16.216200
-0.07718823899396314;-28.182580610162574;0:16.249567
-1.155646263023407;-27.983056886448786;0:16.282933
-1.0037458012038853;-28.24858081121605;0:16.316300
-0.8269213994659536;-28.037556802454667;0:16.349667
-0.5952306709958802;-27.74275104433419;0:16.383033
0.5961351271081552;-27.816524120779036;0:16.416400
1.1684539750266438;-27.45646279960156;0:16.549867
2.0372907759574814;-27.20107999907633;0:16.583233
2.580546915185765;-27.147509102153826;0:16.616600
2.0688485298539696;-27.09974862590581;0:16.649967
2.9944896698038255;-26.498638610344017;0:16.950267
3.984284480340766;-26.074401074998196;0:16.983633
4.993876234359933;-25.908819286136367;0:17.017000
7.202283544702363;-24.762170069527667;0:17.083733
10.212747868664664;-24.06424730045581;0:17.117100
11.457125453568164;-23.616789520760847;0:17.150467
10.430833193920401;-23.161137428694992;0:17.183833
12.016068915863375;-20.693374878168402;0:17.250567
9.444932749927315;-21.85808502182223;0:17.317300
7.415610791956165;-22.20617250906998;0:17.350667
6.12993022824986;-24.013390420756252;0:17.384033
6.714623770007224;-24.034538162084665;0:17.417400
2.9636773627331165;-25.82347970883621;0:17.450767
2.6245319845957944;-26.022155627345608;0:17.484133
1.7359899872769204;-26.66290377811411;0:17.517500
0.9488998213895952;-25.51032549946607;0:17.550867
-0.1416537517769007;-26.109184773709778;0:17.584233
0.5413349907125686;-26.797658101962043;0:17.617600
2.7639873088262545;-27.287677691216054;0:17.650967
4.369733795571441;-29.167732405006053;0:17.684333
5.5648895126747675;-29.67202837288147;0:17.717700
6.60629988188457;-31.110532186074455;0:17.751067
5.693569042244116;-32.038558031850314;0:17.784433
4.369240165007321;-31.000802144247643;0:17.817800
3.715858584693705;-29.1216944319966;0:17.851167
2.638268732250249;-30.220205085112678;0:17.884533
2.3512757598064704;-30.076092920738034;0:17.917900
3.6809918031403877;-30.434709060724238;0:17.951267
3.2659233198346795;-32.04554317779137;0:17.984633
2.8179313910087727;-33.40863267253282;0:18.018000
2.7651820437799;-33.36376122077909;0:18.051367
4.413392119583898;-32.684204824213175;0:18.084733
4.464183983760738;-33.85254595880361;0:18.118100
4.0281467799491555;-34.93962808199327;0:18.151467
3.6009414104350297;-35.455103714719044;0:18.218200
5.403909443029574;-35.68380601393342;0:18.251567
2.29613760324005;-37.485740370111415;0:18.284933
-1.7594823310355772;-28.683160108134008;0:18.351667
-2.6105193120215615;-26.078608756302298;0:22.989633
-3.133411895461882;-24.712633733210737;0:23.089733
-4.135685747852255;-25.561096577832807;0:23.123100
-1.7104576047954132;-24.369146415116955;0:23.156467
4.040230979952317;-31.375967016754963;0:23.189833
4.950433488905711;-31.7736170964518;0:23.223200
7.286376587671803;-32.49817063743758;0:23.256567
9.33693484237983;-30.21698222458731;0:23.289933
10.333001983254647;-31.047612402422704;0:23.323300
10.993733525105778;-28.70558947322513;0:23.356667
12.425104380883777;-29.681342469296663;0:23.390033
11.919996569864983;-31.56965179652311;0:23.423400
8.157683076419348;-29.613421063741594;0:23.456767
6.147479864784381;-25.744895109018717;0:23.490133
3.674157275442642;-32.14265294471894;0:23.523500
3.258797977366599;-29.7303800651316;0:23.556867
3.0174485463880467;-24.441982116562954;0:23.590233
5.106697563192754;-24.34597367629676;0:23.623600
5.490387538803166;-24.733925427147206;0:23.656967
6.049476847667544;-21.54167934694533;0:23.690333
5.964083306524695;-23.042998547963926;0:23.723700
6.100956884162274;-25.907017371305052;0:23.757067
6.616513996881966;-28.826912413657134;0:23.790433
8.520849344268937;-32.765118460596035;0:23.823800
10.511376110305784;-33.287034659289034;0:23.857167
12.571108846341959;-35.72362076263059;0:23.890533
14.501248674196953;-37.24709163010658;0:23.923900
15.5759050570554;-36.55359736421475;0:23.957267
14.899305650996885;-34.87638540134911;0:23.990633
15.109938578502206;-30.513421040088264;0:24.024000
14.88666287979872;-28.90773918449097;0:24.057367
14.37144524973927;-28.496372589303085;0:24.090733
13.920358439180017;-31.176429546478413;0:24.124100
13.149608492320493;-32.53183192004035;0:24.157467
11.71888356467344;-33.152732411571236;0:24.190833
10.765957159898727;-34.936280181909765;0:24.224200
10.107336468168128;-32.65232381216904;0:24.257567
9.207818914493632;-30.978946094252183;0:24.290933
8.720768848956912;-28.099903312057556;0:24.324300
7.683480017989528;-30.653982934034055;0:24.357667
6.8771738186670985;-25.974600214246426;0:24.391033
6.044009678240007;-24.62156021177839;0:24.424400
5.128643204925873;-23.233839440273783;0:24.457767
5.294595013952607;-22.642855685742724;0:24.491133
5.3101790968992315;-21.241929318822606;0:24.524500
6.557134727923054;-23.9864000526925;0:24.557867
6.313802680185627;-26.003491122713616;0:24.591233
4.738401527243829;-17.532696627181437;0:24.824800
3.9046823713420507;-8.806485183394821;0:24.891533
3.9192547507783244;-0.08488395269086055;0:24.991633
0.7275623656435947;9.647063548515508;0:25.025000
-0.38737776844175514;19.76684721845221;0:25.058367
0.5429615709074651;19.248979960497394;0:25.125100
0.11376698375230036;17.223373583141875;0:25.158467
-0.5093127020137509;15.4156604723189;0:25.191833
0.6129059482699076;15.654293574955;0:25.225200
1.4944465056694693;15.57671242456351;0:25.258567
1.9295593353603278;17.23640105443685;0:25.291933
