time;random
0:12.245567;1
0:12.278933;1
0:12.312300;1
0:12.345667;1
0:12.379033;1
0:12.412400;1
0:12.445767;1
0:12.479133;1
0:12.512500;1
0:12.545867;1
0:12.579233;1
0:12.612600;1
0:12.645967;1
0:12.679333;1
0:12.712700;1
0:12.746067;1
0:12.779433;1
0:12.812800;1
0:12.846167;1
0:12.879533;1
0:12.912900;1
0:12.946267;1
0:12.979633;1
0:13.013000;1
0:13.046367;1
0:13.079733;1
0:13.113100;1
0:13.146467;1
0:13.179833;1
0:13.213200;1
0:13.246567;1
0:13.279933;1
0:13.313300;1
0:13.346667;1
0:13.380033;1
0:13.446767;1
0:13.480133;1
0:13.513500;1
0:13.546867;1
0:13.580233;1
0:13.613600;1
0:13.646967;1
0:13.680333;1
0:13.713700;1
0:13.747067;1
0:13.780433;1
0:13.813800;1
0:13.880533;1
0:13.913900;1
0:14.047367;1
0:14.114100;1
0:14.180833;1
0:14.214200;1
0:14.280933;1
0:14.547867;1
0:14.581233;1
0:14.614600;1
0:14.647967;1
0:14.714700;1
0:14.814800;1
0:14.848167;1
0:14.881533;1
0:14.948267;1
0:14.981633;1
0:15.015000;1
0:15.048367;1
0:15.115100;1
0:15.181833;1
0:16.449767;1
0:16.483133;1
0:16.516500;1
0:16.683333;1
0:16.716700;1
0:16.750067;1
0:16.783433;1
0:16.816800;1
0:16.850167;1
0:16.883533;1
0:16.916900;1
0:17.050367;1
0:17.217200;1
0:17.283933;1
0:18.184833;1
0:18.318300;1
0:18.385033;1
0:18.418400;1
0:18.451767;1
0:18.485133;1
0:18.518500;1
0:18.551867;1
0:18.585233;1
0:18.618600;1
0:18.651967;1
0:18.685333;1
0:18.718700;1
0:18.752067;1
0:18.785433;1
0:18.818800;1
0:18.852167;1
0:18.885533;1
0:18.918900;1
0:18.952267;1
0:18.985633;1
0:19.019000;1
0:19.052367;1
0:19.085733;1
0:19.119100;1
0:19.152467;1
0:19.185833;1
0:19.219200;1
0:19.252567;1
0:19.285933;1
0:19.319300;1
0:19.352667;1
0:19.386033;1
0:19.419400;1
0:19.452767;1
0:19.486133;1
0:19.519500;1
0:19.552867;1
0:19.586233;1
0:19.619600;1
0:19.652967;1
0:19.686333;1
0:19.719700;1
0:19.753067;1
0:19.786433;1
0:19.819800;1
0:19.853167;1
0:19.886533;1
0:19.919900;1
0:19.953267;1
0:19.986633;1
0:20.020000;1
0:20.053367;1
0:20.086733;1
0:20.120100;1
0:20.153467;1
0:20.186833;1
0:20.220200;1
0:20.253567;1
0:20.286933;1
0:20.320300;1
0:20.353667;1
0:20.387033;1
0:20.420400;1
0:20.453767;1
0:20.487133;1
0:20.520500;1
0:20.553867;1
0:20.587233;1
0:20.620600;1
0:20.653967;1
0:20.687333;1
0:20.720700;1
0:20.754067;1
0:20.787433;1
0:20.820800;1
0:20.854167;1
0:20.887533;1
0:20.920900;1
0:20.954267;1
0:20.987633;1
0:21.021000;1
0:21.054367;1
0:21.087733;1
0:21.121100;1
0:21.154467;1
0:21.187833;1
0:21.221200;1
0:21.254567;1
0:21.287933;1
0:21.321300;1
0:21.354667;1
0:21.388033;1
0:21.421400;1
0:21.454767;1
0:21.488133;1
0:21.521500;1
0:21.554867;1
0:21.588233;1
0:21.621600;1
0:21.654967;1
0:21.688333;1
0:21.721700;1
0:21.755067;1
0:21.788433;1
0:21.821800;1
0:21.855167;1
0:21.888533;1
0:21.921900;1
0:21.955267;1
0:21.988633;1
0:22.022000;1
